image path,green_players_alive,green_ability_count,green_health_1,green_health_2,green_health_3,green_health_4,green_health_5,green_ults,red_players_alive,red_ability_count,red_health_1,red_health_2,red_health_3,red_health_4,red_health_5,red_ults,spike_countdown,green_win
output/screenshots/1718764713.7879388.png,5,13,309,309,309,309,309,0,5,9,310,312,310,311,311,0,0,1
output/screenshots/1718764714.5333436.png,5,13,309,309,309,309,309,0,5,9,310,310,310,311,311,0,0,1
output/screenshots/1718764715.2708442.png,5,13,309,309,309,309,309,0,5,9,310,311,310,311,311,0,0,1
output/screenshots/1718764716.002298.png,5,13,309,308,309,309,309,0,5,9,310,310,310,311,311,0,0,1
output/screenshots/1718764716.7023613.png,6,14,182,118,309,309,309,0,5,9,310,310,311,311,310,0,0,1
output/screenshots/1718764717.5019789.png,5,13,309,309,309,309,309,0,3,7,310,310,311,0,0,0,0,1
output/screenshots/1718764718.2481897.png,5,13,309,309,309,309,309,0,3,7,311,311,311,0,0,0,0,1
output/screenshots/1718764718.9910588.png,5,14,309,309,309,309,309,0,3,7,310,310,311,0,0,0,0,1
output/screenshots/1718764719.7139852.png,5,14,309,309,309,309,309,0,3,7,310,310,311,0,0,0,0,1
output/screenshots/1718764720.4541106.png,5,13,310,309,309,309,310,0,3,6,304,310,311,0,0,0,0,1
output/screenshots/1718764721.2169828.png,5,12,310,309,309,309,309,0,3,6,311,311,311,0,0,0,0,1
output/screenshots/1718764721.9458413.png,5,14,310,309,310,309,309,0,3,6,311,311,310,0,0,0,0,1
output/screenshots/1718764722.673394.png,5,13,309,309,309,309,309,0,3,6,310,310,311,0,0,0,0,1
output/screenshots/1718764723.443486.png,5,13,310,309,309,309,309,0,3,6,139,235,311,0,0,0,0,1
output/screenshots/1718764724.1932786.png,5,12,310,309,309,309,309,0,3,6,111,235,311,0,0,0,0,1
output/screenshots/1718764724.9329507.png,5,12,309,309,309,309,309,0,3,6,111,235,310,0,0,0,0,1
output/screenshots/1718764725.676506.png,5,12,309,309,309,309,309,0,3,6,111,235,310,0,0,0,0,1
output/screenshots/1718764726.4025743.png,5,11,309,309,309,309,309,0,3,6,111,235,310,0,0,0,0,1
output/screenshots/1718764727.1359754.png,5,12,309,309,309,309,309,0,3,6,111,236,310,0,0,0,0,1
